pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,pl_controv_flag,st_logg,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err,pl_eqt_calc,pl_eqt_calc_err,TSM,TSM_err
55 Cnc e,0.7365474,0.01544,7.99,1.875,0,0.029,-0.029,0.03846733,1.5439,0,-0.33,0.32,0.05,83.59,0.943,0.905,5172,0.0182,0.35,0,4.768,0,4.43,18,-18,0.01,-0.01,5.00E-05,-5.00E-05,0.244,-0.244,0.325,0.029,18,0.01,5.00E-05,0.244,2231.796272,114.0488394,1782.783802,11.66976874,231.901136,30.17059805,1782.77047,11.66968146,231.8994017,30.17037242
AU Mic b,8.46308,0.0649,20.12,3.95677019,0,0.14571675,-0.14571675,0.2379,3.4927,0,-1.72,1.57,0.00577,89.57917,0.744,0.51,3678,0.0488,0.23,0,5.436,0,4.404,90,-88,0.023,-0.021,0.0012,-0.0012,0.017,-0.017,1.645,0.14571675,89,0.022,0.0012,0.017,1261.992096,138.8740504,549.2673819,16.38258001,319.9207526,48.87484136,549.2632741,16.38245749,319.91836,48.87447584
CoRoT-7 b,0.85359163,0.017016,4.07660518,1.68135,0,0.11209,-0.11209,0.035,1.059,0,-1.01981794,1.01981794,0,80.1,0.83,0.82,5275,0.0187,0.05,0,10.301,0,4.5,75,-75,0.04,-0.04,0.00017,-3.60E-05,0.024,-0.024,1.01981794,0.11209,75,0.04,0.000103,0.024,1416.096039,401.4315554,1624.952748,45.72871322,30.16691015,10.13114561,1624.940596,45.72837123,30.16668454,10.13106984
GJ 1214 b,1.580404531,0.01505,8.41,2.733,0,0.033,-0.031,1.343,0.86966,0,-0.35,0.36,0.0062,88.98,0.2162,0.182,3101,0.11589,0.24,0,9.75,0,5.0286,43,-43,0.0025,-0.0024,0.00011,-0.00011,0.024,-0.024,0.355,0.032,43,0.00245,0.00011,0.024,1105.673867,53.37327767,518.4051725,7.99318003,380.584758,23.73469099,518.4012955,7.993120252,380.5819117,23.73451349
GJ 3090 b,2.8531054,0.03165,3.34,2.13,0,0.11,-0.11,0.1395,1.281,0,-0.72,0.72,0.32,87.14,0.516,0.519,3556,0.0379,-0.06,0,8.168,0,4.727,70,-70,0.016,-0.016,0.00027,-0.00027,0.021,-0.021,0.72,0.11,70,0.016,0.00027,0.021,722.9322058,172.8065239,633.2974086,16.09702749,201.5910265,55.2295478,633.2926724,16.09690711,201.5895189,55.22913476
GJ 414 A b,50.8,0.2324,7.6,2.63,0,1.22,-0.85,,,0,-2.19,2.44,0.45,,0.68,0.65,4120,,0.24,0,5.764,0,4.65,109,-109,0.14,-0.14,0.0092,-0.0099,0.02,-0.02,2.315,1.035,109,0.14,0.00955,0.02,1078.977548,910.6129974,310.8433463,33.65010907,142.6093329,184.1800756,310.8410216,33.64985741,142.6082664,184.1786981
HD 136352 b,11.57797,0.0964,4.72,1.664,0,0.043,-0.043,0.0208,3.935,0,-0.42,0.42,0,88.49,1.058,0.87,5664,0.01442,-0.24,0,4.308,0,4.39,61,-61,0.019,-0.019,0.0028,-0.0028,0.226,-0.226,0.42,0.043,61,0.019,0.0028,0.226,1673.962279,172.2562008,827.6286698,16.70757674,125.0698715,20.34356503,827.6224803,16.70745179,125.0689361,20.34341288
HD 136352 c,27.59221,0.1721,11.24,2.916,0,0.075,-0.073,0.0638,3.251,0,-0.63,0.65,0,88.571,1.058,0.87,5664,0.02526,-0.24,0,4.308,0,4.39,61,-61,0.019,-0.019,0.005,-0.005,0.226,-0.226,0.64,0.074,61,0.019,0.005,0.226,1298.080376,99.01317616,619.4176959,12.50597391,214.8911304,31.55885348,619.4130635,12.50588039,214.8895233,31.55861746
HD 191939 b,8.8803256,0.0804,10,3.41,0,0.075,-0.075,0.1238,2.939,0,-0.7,0.7,0.031,88.1,0.94,0.81,5348,0.03319,-0.15,0,7.597,0,4.3,100,-100,0.02,-0.02,0.0025,-0.0023,0.029,-0.029,0.7,0.075,100,0.02,0.0024,0.029,844.5036959,69.81838417,806.5573739,21.11851542,140.1046874,15.30183391,806.5513419,21.11835748,140.1036396,15.30171947
HD 191939 d,38.353037,0.2132,2.8,2.995,0,0.07,-0.07,0.10290917,5.36,0,-0.6,0.6,0.031,89.49,0.94,0.81,5348,0.02916,-0.15,0,7.597,0,4.3,100,-100,0.02,-0.02,0.0065,-0.0061,0.029,-0.029,0.6,0.07,100,0.02,0.0063,0.029,306.5312036,67.22993313,495.3015536,12.92639036,208.1883396,48.15634282,495.2978494,12.92629369,208.1867826,48.15598268
HD 20329 b,0.926118,0.018,7.42,1.72,0,0.07,-0.07,0.0221,1.26,0,-1.09,1.09,0,76.01,1.13,0.9,5596,0.0139,-0.07,0,7.492,0,4.4,50,-50,0.02,-0.02,0.0003,-0.0003,0.021,-0.021,1.09,0.07,50,0.02,0.0003,0.021,2462.959803,413.6371571,1955.638777,29.5030979,42.00333109,8.194477239,1955.624152,29.50287726,42.00301696,8.194415956
HD 213885 b,1.008035,0.02012,8.83,1.745,0,0.051,-0.052,0.02,1.41,0,-0.65,0.66,0,80.09,1.1011,1.068,5978,0.01453,-0.04,0,6.806,0,4.3827,50,-50,0.008,-0.0075,0.00015,-0.00012,0.023,-0.023,0.655,0.0515,50,0.00775,0.000135,0.023,2847.607667,269.9459692,1950.577763,18.87092016,53.10138872,6.225683118,1950.563175,18.87077903,53.1009916,6.225636558
HD 219134 b,3.092926,0.03876,4.74,1.602,0,0.055,-0.055,0.0358,0.945,0,-0.19,0.19,0,85.05,0.778,0.81,4699,0.0189,0.11,0,3.981,0,4.567,16,-16,0.005,-0.005,0.00047,-0.00047,0.258,-0.258,0.19,0.055,16,0.005,0.00047,0.258,1813.69239,144.2031039,928.5628927,7.112997806,268.059911,43.68266278,928.5559483,7.112944611,268.0579063,43.68233609
HD 219134 c,6.76458,0.0653,4.36,1.511,0,0.047,-0.047,0.0318,1.66,0,-0.22,0.22,0.062,87.28,0.778,0.81,4699,0.01776,0.11,0,3.981,0,4.567,16,-16,0.005,-0.005,0.0008,-0.0008,0.258,-0.258,0.22,0.047,16,0.005,0.0008,0.258,1875.287562,150.2130258,715.3961818,5.515620072,188.3930481,30.14004686,715.3908316,5.515578823,188.3916392,30.13982145
HD 25463 b,7.0491423,0.076,8.7,2.54535814,0,0.1117151,-0.08338345,0.03005227,3.3487071,0,-2.6,2.7,0,,1.4182,1.251,6353,0.01645417,-0.018,0,5.945,0,4.227,85,-77,0.0241,-0.023,0.001,-0.001,0.024,-0.024,2.65,0.097549275,81,0.02355,0.001,0.024,1318.656774,414.1816588,1210.455323,20.06503275,93.01902605,30.49811376,1210.446271,20.06488269,93.01833039,30.49788567
HD 3167 b,0.959641,0.01796,4.97,1.67,0,0.17,-0.1,0.0294,1.609,0,-0.23,0.24,0,83.4,0.88,0.837,5261,0.01725,0.04,0,7.548,0,4.53,60,-60,0.012,-0.013,0.00037,-0.00031,0.032,-0.032,0.235,0.135,60,0.0125,0.00034,0.032,1749.982715,294.7829473,1624.29324,26.6950111,76.60597815,19.12751804,1624.281092,26.69481145,76.60540524,19.12737499
HD 80653 b,0.719573,0.01661,5.72,1.613,0,0.071,-0.071,0.01596404,1.7976,0,-0.35,0.36,0,82.1,1.22,1.18,5959,0.0121,0.255,0,8.315,0,4.34,61,-61,0.01,-0.01,0.00019,-0.00019,0.023,-0.023,0.355,0.071,61,0.01,0.00019,0.023,2158.925254,232.5426057,2252.560424,27.98047733,30.3972578,4.490652361,2252.543578,27.98026808,30.39703047,4.490618777
HD 86226 c,3.98442,0.049,7.25,2.16,0,0.08,-0.08,0.0445,3.12,0,-1.12,1.19,0.075,86.45,1.053,1.019,5863,0.0188,0.018,0,6.839,0,4.4,88,-88,0.026,-0.026,0.001,-0.001,0.019,-0.019,1.155,0.08,88,0.026,0.001,0.019,1525.951803,268.0935096,1198.792466,26.3139885,81.18598317,16.38318207,1198.7835,26.31379171,81.18537601,16.38305955
HR 858 b,3.585287,0.04888,3.55,2.004,0,0.045,-0.047,0.02137,2.705,0,-0.96,0.94,0,85.98,1.258,1.204,6354,0.0146,0.025,0,5.473,0,4.3,70,-70,0.019,-0.019,0.00066,-0.00066,0.027,-0.027,0.95,0.046,70,0.019,0.00066,0.027,868.0469815,235.6876824,1421.771805,21.2779004,206.3972749,57.51259564,1421.761172,21.27774127,206.3957313,57.51216553
K2-100 b,1.6739035,0.0301,21.8,3.88,0,0.16,-0.16,0.01225,1.6056,0,-6.2,6.2,0,81.27,1.24,1.15,5945,0.02867,0.22,0,9.463,0,4.33,110,-110,0.05,-0.05,0.0014,-0.0014,0.026,-0.026,6.2,0.16,110,0.05,0.0014,0.026,1422.012307,421.0872232,1683.012799,60.44030151,48.07205648,15.51220668,1683.000213,60.4398495,48.07169697,15.51209067
K2-141 b,0.2803244,0.00747,4.97,1.51,0,0.05,-0.05,0.0507,0.94,0,-0.34,0.35,0,86.3,0.681,0.708,4570,0.02088,0,0,9.086,0,4.62,100,-100,0.018,-0.018,0.0001,-0.0001,0.021,-0.021,0.345,0.05,100,0.018,0.0001,0.021,2140.488046,205.3577458,1924.586434,50.85702489,55.18082568,7.45921144,1924.57204,50.85664455,55.180413,7.459155656
K2-266 b,0.658524,0.01306,11.26782377,3.3,0,1.8,-1.3,0.18,0.33336,0,-11.3711983,11.3711983,,75.32,0.703,0.686,4285,0.043,-0.12,0,9.611,0,4.581,49,-57,0.024,-0.022,0.0002,-0.00021,0.027,-0.027,11.3711983,1.55,53,0.023,0.000205,0.027,1016.067309,1400.881506,1386.643644,30.44881357,137.0143197,237.6670609,1386.633274,30.44858585,137.013295,237.6652835
L 98-59 d,7.450729,0.0494,1.64,1.627,0,0.041,-0.041,0.1445,0.84,0,-0.07,0.07,0.006,88.44,0.3155,0.2923,3415,0.0448,-0.46,0,7.933,0,4.91,60,-60,0.0062,-0.0062,0.0016,-0.0016,0.027,-0.027,0.07,0.041,60,0.0062,0.0016,0.027,608.3857802,40.18084187,380.6579289,9.83460682,327.8124994,32.62331467,380.6550821,9.834533271,327.8100478,32.62307069
TOI-132 b,2.1097019,0.026,22.4,3.42,0,0.13,-0.14,0.13097297,2.1344043,0,-1.92,1.9,0.059,85.03,0.9,0.97,5397,0.0356,0.16,0,10.141,0,4.48,46,-46,0.02,-0.02,0.002,-0.003,0.022,-0.022,1.91,0.135,46,0.02,0.0025,0.022,1880.641948,218.5375086,1400.538216,70.13177708,37.03822916,5.958390904,1400.527742,70.13125259,37.03795217,5.958346343
TOI-1410.01,1.21687,0.0207,12.5,3.10083009,0,0.22026793,-0.1612362,0.124,1.1120799,0,-1,1.1,0,,0.7558,0.7941,4635,0.03761441,0.328,0,9.251,0,4.579,52,-52,0.024,-0.02,0.0004,-0.0004,0.022,-0.022,1.05,0.190752065,52,0.022,0.0004,0.022,1276.628061,190.1837148,1235.31005,25.64686261,93.21720247,19.78254946,1235.300811,25.64667081,93.21650533,19.78240152
TOI-2015 b,3.348237,0.029322,9.2,3.309,0,0.013,-0.011,0.87,0.9876,0,-0.35,0.32,0.0789,87.61,0.3273,0.3041,3297,0.09278,-0.31,0,11.118,0,5.04,14,-28,0.0029,-0.0051,3.00E-06,-3.00E-06,0.022,-0.022,0.335,0.012,21,0.004,3.00E-06,0.022,825.0962353,30.63446842,485.8510214,4.288489743,136.6229169,6.440519673,485.8473879,4.288457671,136.6218951,6.440471507
TOI-2443 b,15.66858,0.105,4.8,2.363,0,0.066,-0.066,0.13933815,4.548,0,-1.1,1.1,0.301,89.72,0.631,0.642,4375,0.03436,-0.29,0,7.26,0,4.42,65,-65,0.014,-0.014,0.0025,-0.0025,0.021,-0.021,1.1,0.066,65,0.014,0.0025,0.021,844.1587115,199.1174006,473.0489169,10.42344632,145.3341941,36.21316563,473.0453792,10.42336837,145.3331072,36.2128948
TOI-5398 c,4.77271,0.057,11.8,3.52,0,0.19,-0.19,0.092,3.127,0,-4.7,4.8,0.14,88.4,1.051,1.146,6000,0.0308,0.09,0,9.026,0,4.44,75,-75,0.013,-0.013,0.003,-0.003,0.021,-0.021,4.75,0.19,75,0.013,0.003,0.021,935.2053721,389.7625281,1136.378859,33.84463405,76.22082871,33.21119211,1136.37036,33.84438093,76.22025868,33.21094374
TOI-544 b,1.548352,0.0225,2.89,2.018,0,0.076,-0.076,0.09264111,1.21,0,-0.48,0.48,0,,0.623,0.631,4169,0.0297,-0.17,0,8.592,0,4.68,70,-70,0.012,-0.012,0.0002,-0.0002,0.026,-0.026,0.48,0.076,70,0.012,0.0002,0.026,696.8925656,127.0932117,967.5927919,19.21664401,170.8255073,35.16388404,967.5855557,19.21650029,170.8242298,35.16362106
pi Men c,6.2678399,0.06839,3.63,2.0189,0,0.0465,-0.0448,0.026759,2.952024,0,-0.38,0.38,0,87.045,1.17,1.07,5998,0.015844,0.09,0,4.869,0,4.43,62,-62,0.02,-0.02,0.0005,-0.0005,0.272,-0.272,0.38,0.04565,62,0.02,0.0005,0.272,874.5553915,99.72868904,1094.236143,15.2119712,242.5200651,43.79641697,1094.227959,15.21185744,242.5182514,43.79608943